global_step, cost, loss, regul, learning_rate, Prob, Trace, regularized/alpha
0, -0.00740049833749, -0.00990049833749, 0.0025, 0.1, 0.00990049833749, 1.0, 0.1
1, -0.00967902484839, -0.0129624899471, 0.00328346509869, 0.1, 0.0129624899471, 1.0, 0.114603055783
2, -0.0126158256235, -0.0169190154165, 0.00430318979303, 0.1, 0.0169190154165, 1.0, 0.131197405356
3, -0.0163713003215, -0.0219952013174, 0.0056239009959, 0.1, 0.0219952013174, 1.0, 0.149985345896
4, -0.0211251049692, -0.0284487118333, 0.00732360686413, 0.1, 0.0284487118333, 1.0, 0.171156149339
5, -0.0270650821409, -0.0365584233079, 0.00949334116701, 0.1, 0.0365584233079, 1.0, 0.194867556735
6, -0.0343666287199, -0.0466012810289, 0.0122346523091, 0.1, 0.0466012810289, 1.0, 0.221220725151
7, -0.0431605302172, -0.0588141594206, 0.0156536292034, 0.1, 0.0588141594206, 0.999999999999, 0.25022892881
8, -0.0534902224305, -0.0733405531107, 0.0198503306803, 0.1, 0.0733405531107, 0.999999999996, 0.281782403143
9, -0.0652650549506, -0.0901682371591, 0.0249031822085, 0.1, 0.0901682371591, 0.999999999982, 0.315614842544
10, -0.0782234730828, -0.109072985145, 0.0308495120624, 0.1, 0.109072985145, 0.999999999922, 0.351280583365
11, -0.0919253009519, -0.129591130213, 0.0376658292608, 0.1, 0.129591130213, 0.999999999694, 0.388153728622
12, -0.105789413541, -0.151043228581, 0.0452538150406, 0.1, 0.151043228581, 0.999999998921, 0.425458881871
13, -0.119178089071, -0.17261670855, 0.0534386194797, 0.1, 0.17261670855, 0.999999996644, 0.46233589296
14, -0.131506877711, -0.19349026313, 0.0619833854189, 0.1, 0.19349026313, 0.999999990798, 0.497929253685
15, -0.142342929789, -0.212961165844, 0.070618236055, 0.1, 0.212961165844, 0.999999977753, 0.53148183809
16, -0.151458395044, -0.230534463314, 0.0790760682702, 0.1, 0.230534463314, 0.999999952316, 0.562409346545
17, -0.158827455026, -0.245952459364, 0.0871250043381, 0.1, 0.245952459364, 0.999999908613, 0.590338900423
18, -0.164580264789, -0.259169938779, 0.0945896739898, 0.1, 0.259169938779, 0.999999841693, 0.615108686298
19, -0.168939366486, -0.270298079671, 0.101358713185, 0.1, 0.270298079671, 0.999999749163, 0.636737663987
20, -0.172161145342, -0.279541828854, 0.107380683513, 0.1, 0.279541828854, 0.999999632084, 0.655379839521
21, -0.174494105283, -0.287147096391, 0.112652991109, 0.1, 0.287147096391, 0.999999494757, 0.671276369638
22, -0.176155619437, -0.293363945533, 0.117208326096, 0.1, 0.293363945533, 0.999999343655, 0.6847140311
23, -0.177323206004, -0.298424994733, 0.121101788729, 0.1, 0.298424994733, 0.999999186047, 0.695993645745
24, -0.178134940389, -0.302535260634, 0.124400320245, 0.1, 0.302535260634, 0.99999902878, 0.705408591512
25, -0.178694453185, -0.305869344591, 0.127174891406, 0.1, 0.305869344591, 0.999998877491, 0.71323177553
26, -0.179077475399, -0.308572709297, 0.129495233898, 0.1, 0.308572709297, 0.999998736265, 0.719708924214
27, -0.179338241609, -0.310764861718, 0.13142662011, 0.1, 0.310764861718, 0.999998607648, 0.725056191229
28, -0.179514994342, -0.312543145787, 0.133028151445, 0.1, 0.312543145787, 0.999998492855, 0.729460489527
29, -0.179634378236, -0.313986459512, 0.134352081276, 0.1, 0.313986459512, 0.999998392082, 0.733081390503
30, -0.179714784664, -0.315158585921, 0.135443801256, 0.1, 0.315158585921, 0.999998304801, 0.736053805795
31, -0.179768815446, -0.316111036125, 0.136342220679, 0.1, 0.316111036125, 0.999998230036, 0.738490949651
32, -0.179805055531, -0.316885408373, 0.137080352842, 0.1, 0.316885408373, 0.999998166566, 0.74048727968
33, -0.179829326588, -0.317515313354, 0.137685986765, 0.1, 0.317515313354, 0.999998113079, 0.742121248221
34, -0.179845562011, -0.318027930509, 0.138182368498, 0.1, 0.318027930509, 0.999998068275, 0.743457782252
35, -0.179856411612, -0.318445259775, 0.138588848163, 0.1, 0.318445259775, 0.999998030926, 0.74455046347
36, -0.179863656302, -0.31878512621, 0.138921469908, 0.1, 0.31878512621, 0.999997999917, 0.745443411421
37, -0.179868490752, -0.319061985858, 0.139193495106, 0.1, 0.319061985858, 0.999997974254, 0.746172889097
38, -0.179871715151, -0.319287572672, 0.139415857521, 0.1, 0.319287572672, 0.999997953073, 0.746768659014
39, -0.1798738648, -0.319471418436, 0.139597553636, 0.1, 0.319471418436, 0.999997935629, 0.747255120118
40, -0.179875297448, -0.319621271288, 0.13974597384, 0.1, 0.319621271288, 0.999997921287, 0.747652255637
41, -0.179876251986, -0.319743433154, 0.139867181169, 0.1, 0.319743433154, 0.999997909513, 0.747976419866
42, -0.179876887831, -0.319843032234, 0.139966144403, 0.1, 0.319843032234, 0.999997899859, 0.748240988994
43, -0.179877311315, -0.319924243332, 0.140046932017, 0.1, 0.319924243332, 0.99999789195, 0.748456897937
44, -0.179877593323, -0.319990466293, 0.14011287297, 0.1, 0.319990466293, 0.999997885477, 0.748633082277
45, -0.179877781101, -0.320044470695, 0.140166689594, 0.1, 0.320044470695, 0.999997880181, 0.748776841506
46, -0.179877906126, -0.320088513211, 0.140210607085, 0.1, 0.320088513211, 0.999997875851, 0.748894136938
47, -0.179877989365, -0.320124432976, 0.140246443611, 0.1, 0.320124432976, 0.999997872313, 0.748989836009
48, -0.179878044782, -0.320153729072, 0.140275684289, 0.1, 0.320153729072, 0.999997869422, 0.749067912246
49, -0.179878081677, -0.320177623602, 0.140299541924, 0.1, 0.320177623602, 0.999997867061, 0.749131609063
50, -0.179878106241, -0.320197112938, 0.140319006697, 0.1, 0.320197112938, 0.999997865132, 0.74918357349
